participant_ID,task,effect,phase,group,rater_identifier,clarity_coherence,causal_reasoning,theoretical_depth,creativity,persuasiveness,overall_quality,topic_expert
senior_contributor_ogh5x,gender,interactions,post,1,human evaluator 1,1,1,1,1,1,1.0,0
phd_contributor_drr4r,gender,interactions,post,0,human evaluator 1,2,2,1,2,2,1.8,0
phd_contributor_9b8k7,gender,interactions,pre,0,human evaluator 1,1,1,2,2,2,1.6,0
senior_contributor_unrjy,gender,interactions,pre,1,human evaluator 1,2,2,3,3,2,2.4,1
phd_contributor_1nw3h,gender,interactions,post,0,human evaluator 1,6,6,5,6,1,4.8,0
Grok4_fast,gender,interactions,pre,2,human evaluator 1,9,8,9,8,9,8.6,-1
senior_contributor_jakh3,race,main,pre,1,human evaluator 1,2,1,2,2,3,2.0,1
senior_contributor_ecdev,race,main,post,1,human evaluator 1,3,3,3,3,3,3.0,1
phd_contributor_7x004,race,main,pre,0,human evaluator 1,1,1,1,1,1,1.0,0
senior_contributor_unrjy,race,main,post,1,human evaluator 1,4,3,4,3,5,3.8,1
phd_contributor_1nw3h,race,main,post,0,human evaluator 1,6,5,6,4,5,5.2,0
Claude_opus4.8_adaptive,race,main,pre,2,human evaluator 1,9,9,9,9,9,9.0,-1
phd_contributor_2xy9o,race,main,post,0,human evaluator 1,9,8,9,8,9,8.6,0
GPT_5.4_thinking_standard,race,main,pre,2,human evaluator 1,9,8,8,7,9,8.2,-1
senior_contributor_8pxf3,race,main,post,1,human evaluator 1,9,9,8,8,1,7.0,1
senior_contributor_jakh3,race,main,post,1,human evaluator 1,4,3,3,3,3,3.2,1
phd_contributor_ayd29,race,main,post,0,human evaluator 1,8,8,8,8,9,8.2,0
Claude_opus4.8_adaptive,race,main,post,2,human evaluator 1,10,10,9,9,10,9.6,-1
phd_contributor_45ypj,race,main,pre,0,human evaluator 1,4,4,3,4,4,3.8,0
Claude_sonnet4.6,race,main,post,2,human evaluator 1,9,9,9,8,10,9.0,-1
phd_contributor_559wp,race,main,pre,0,human evaluator 1,4,4,3,3,4,3.6,0
phd_contributor_yg9p5,race,main,post,0,human evaluator 1,4,3,3,3,4,3.4,0
GPT_5.5_thinking_standard,race,main,post,2,human evaluator 1,10,9,9,8,10,9.2,-1
Theorista_GPT5.5_instant,race,main,post,2,human evaluator 1,7,8,7,7,9,7.6,-1
phd_contributor_zbjey,race,main,pre,0,human evaluator 1,2,2,2,2,3,2.2,0
Grok4_fast,race,main,post,2,human evaluator 1,9,9,9,9,9,9.0,-1
phd_contributor_41mim,race,interactions,pre,0,human evaluator 1,3,2,2,3,3,2.6,0
senior_contributor_uhvrz,race,interactions,post,1,human evaluator 1,3,4,3,4,3,3.4,1
GPT_5.4_thinking_standard,race,interactions,post,2,human evaluator 1,9,10,9,9,10,9.4,-1
phd_contributor_81m5u,race,interactions,pre,0,human evaluator 1,3,4,3,4,3,3.4,0
senior_contributor_jakh3,race,interactions,pre,1,human evaluator 1,3,3,3,3,3,3.0,1
senior_contributor_jakh3,race,interactions,post,1,human evaluator 1,2,2,2,2,2,2.0,1
GPT_5.5_thinking_standard,race,interactions,pre,2,human evaluator 1,8,8,8,8,8,8.0,-1
Claude_opus4.8_adaptive,race,interactions,pre,2,human evaluator 1,9,9,10,9,10,9.4,-1
senior_contributor_wylyg,race,interactions,post,1,human evaluator 1,3,3,3,3,3,3.0,1
GPT_5.5_thinking_standard,race,interactions,post,2,human evaluator 1,9,9,8,9,9,8.8,-1
phd_contributor_zcof0,race,interactions,post,0,human evaluator 1,8,8,9,8,8,8.2,0
Claude_opus4.8_adaptive,race,interactions,post,2,human evaluator 1,10,10,10,9,10,9.8,-1
senior_contributor_mkvct,race,interactions,pre,1,human evaluator 1,2,2,2,2,2,2.0,1
Claude_opus4.7_adaptive,race,interactions,post,2,human evaluator 1,9,10,10,9,9,9.4,-1
senior_contributor_tjek9,race,interactions,pre,1,human evaluator 1,4,4,4,4,4,4.0,1
senior_contributor_8pxf3,race,interactions,pre,1,human evaluator 1,5,4,4,4,5,4.4,1
phd_contributor_kyj4r,race,interactions,pre,0,human evaluator 1,3,4,3,3,4,3.4,0
senior_contributor_wylyg,race,interactions,pre,1,human evaluator 1,3,2,2,2,2,2.2,1
GPT_5.4_thinking_extended,race,interactions,pre,2,human evaluator 1,8,7,6,6,6,6.6,-1
GPT_5.5_thinking_extended,race,interactions,post,2,human evaluator 1,10,10,9,9,9,9.4,-1
senior_contributor_h1ror,gender,main,post,1,human evaluator 1,4,3,3,3,4,3.4,1
DeepSeek_expert,gender,main,pre,2,human evaluator 1,9,9,9,8,9,8.8,-1
Mistral_balanced,gender,main,pre,2,human evaluator 1,10,9,10,8,9,9.2,-1
phd_contributor_9pm5a,gender,main,pre,0,human evaluator 1,2,2,2,2,3,2.2,0
senior_contributor_5cvcm,gender,main,pre,1,human evaluator 1,8,8,8,8,9,8.2,1
gemini_3.1_pro_standard,gender,main,pre,2,human evaluator 1,9,9,8,8,9,8.6,-1
phd_contributor_c5sgk,gender,main,post,0,human evaluator 1,7,7,7,7,6,6.8,0
senior_contributor_uhvrz,gender,main,post,1,human evaluator 1,4,4,4,4,5,4.2,1
senior_contributor_wylyg,gender,main,post,1,human evaluator 1,2,2,2,2,3,2.2,1
phd_contributor_kyj4r,gender,main,post,0,human evaluator 1,4,3,3,3,4,3.4,0
phd_contributor_5nazt,gender,main,post,0,human evaluator 1,2,2,2,2,2,2.0,1
GPT_5.4_thinking_standard,gender,main,post,2,human evaluator 1,8,7,7,7,7,7.2,-1
phd_contributor_c9vs4,gender,main,pre,0,human evaluator 1,2,2,2,2,2,2.0,0
phd_contributor_1nw3h,gender,main,pre,0,human evaluator 1,3,3,3,3,4,3.2,0
Claude_opus4.7_adaptive,gender,main,pre,2,human evaluator 1,10,9,9,9,10,9.4,-1
phd_contributor_iuy3c,gender,main,pre,0,human evaluator 1,7,6,6,7,7,6.6,0
phd_contributor_yg9p5,gender,main,post,0,human evaluator 1,3,3,3,3,4,3.2,0
Theorista_GPT5.5_thinking_standard,gender,main,pre,2,human evaluator 1,7,7,7,7,7,7.0,-1
phd_contributor_le01h,gender,main,post,0,human evaluator 1,2,2,2,2,3,2.2,0
phd_contributor_81m5u,gender,main,post,0,human evaluator 1,3,3,3,3,4,3.2,0
Mistral_balanced,gender,interactions,pre,2,human evaluator 1,10,9,10,8,9,9.2,-1
phd_contributor_0r0es,gender,interactions,pre,0,human evaluator 1,8,8,8,8,8,8.0,0
senior_contributor_mxspa,gender,interactions,pre,1,human evaluator 1,8,7,7,7,9,7.6,1
senior_contributor_unrjy,gender,interactions,post,1,human evaluator 1,4,5,4,4,4,4.2,1
phd_contributor_7x004,gender,interactions,post,0,human evaluator 1,2,2,2,2,2,2.0,0
senior_contributor_ogh5x,gender,interactions,pre,1,human evaluator 1,1,1,1,1,1,1.0,0
senior_contributor_wylyg,gender,interactions,pre,1,human evaluator 1,4,4,3,4,4,3.8,1
phd_contributor_8fcno,gender,interactions,post,0,human evaluator 1,2,2,2,2,2,2.0,0
senior_contributor_jakh3,gender,interactions,pre,1,human evaluator 1,2,2,2,2,2,2.0,1
phd_contributor_z2j87,gender,interactions,pre,0,human evaluator 1,3,3,3,3,3,3.0,0
phd_contributor_ly6qj,gender,interactions,post,0,human evaluator 1,2,2,2,2,2,2.0,1
GPT_5.5_thinking_standard,gender,interactions,pre,2,human evaluator 1,8,8,8,8,9,8.2,-1
senior_contributor_h1ror,gender,interactions,pre,1,human evaluator 1,2,2,2,2,2,2.0,1
phd_contributor_kyj4r,gender,interactions,pre,0,human evaluator 1,3,3,3,2,2,2.6,0
phd_contributor_mcaaw,gender,interactions,post,0,human evaluator 1,3,3,3,3,3,3.0,1
phd_contributor_34xvl,gender,interactions,post,0,human evaluator 1,3,4,3,3,3,3.2,0
Theorista_GPT5.5_thinking_standard,gender,interactions,pre,2,human evaluator 1,8,8,8,8,9,8.2,-1
Theorista_GPT5.5_instant,gender,interactions,pre,2,human evaluator 1,8,7,7,7,8,7.4,-1
senior_contributor_wylyg,gender,interactions,post,1,human evaluator 1,5,6,5,5,5,5.2,1
senior_contributor_mxspa,gender,interactions,post,1,human evaluator 1,5,5,5,5,5,5.0,1
senior_contributor_jakh3,race,main,pre,1,human evaluator 2,5,5,7,8,5,6.0,1
senior_contributor_ecdev,race,main,post,1,human evaluator 2,8,8,8,8,8,8.0,1
phd_contributor_7x004,race,main,pre,0,human evaluator 2,1,1,1,1,1,1.0,0
senior_contributor_unrjy,race,main,post,1,human evaluator 2,5,6,6,7,5,5.8,1
phd_contributor_1nw3h,race,main,post,0,human evaluator 2,8,8,8,9,9,8.4,0
Claude_opus4.8_adaptive,race,main,pre,2,human evaluator 2,10,10,10,9,10,9.8,-1
phd_contributor_2xy9o,race,main,post,0,human evaluator 2,9,8,8,8,9,8.4,0
GPT_5.4_thinking_standard,race,main,pre,2,human evaluator 2,9,9,8,8,9,8.6,-1
senior_contributor_8pxf3,race,main,post,1,human evaluator 2,8,8,7,7,8,7.6,1
senior_contributor_jakh3,race,main,post,1,human evaluator 2,5,5,6,5,4,5.0,1
phd_contributor_ayd29,race,main,post,0,human evaluator 2,9,8,8,8,1,6.8,0
Claude_opus4.8_adaptive,race,main,post,2,human evaluator 2,9,9,9,9,9,9.0,-1
phd_contributor_45ypj,race,main,pre,0,human evaluator 2,9,8,7,7,8,7.8,0
Claude_sonnet4.6,race,main,post,2,human evaluator 2,5,5,7,7,6,6.0,-1
phd_contributor_559wp,race,main,pre,0,human evaluator 2,9,9,8,8,10,8.8,0
phd_contributor_yg9p5,race,main,post,0,human evaluator 2,5,5,4,5,4,4.6,0
GPT_5.5_thinking_standard,race,main,post,2,human evaluator 2,6,7,6,7,7,6.6,-1
Theorista_GPT5.5_instant,race,main,post,2,human evaluator 2,6,6,6,6,5,5.8,-1
phd_contributor_zbjey,race,main,pre,0,human evaluator 2,8,3,3,3,4,4.2,0
Grok4_fast,race,main,post,2,human evaluator 2,9,9,8,8,9,8.6,-1
phd_contributor_41mim,race,interactions,pre,0,human evaluator 2,6,5,5,6,6,5.6,0
senior_contributor_uhvrz,race,interactions,post,1,human evaluator 2,7,8,7,7,8,7.4,1
GPT_5.4_thinking_standard,race,interactions,post,2,human evaluator 2,8,8,7,7,7,7.4,-1
phd_contributor_81m5u,race,interactions,pre,0,human evaluator 2,6,5,6,4,5,5.2,0
senior_contributor_jakh3,race,interactions,pre,1,human evaluator 2,6,6,5,4,5,5.2,1
senior_contributor_jakh3,race,interactions,post,1,human evaluator 2,6,6,5,4,5,5.2,1
GPT_5.5_thinking_standard,race,interactions,pre,2,human evaluator 2,7,7,7,8,7,7.2,-1
Claude_opus4.8_adaptive,race,interactions,pre,2,human evaluator 2,8,8,8,8,8,8.0,-1
senior_contributor_wylyg,race,interactions,post,1,human evaluator 2,6,5,5,5,5,5.2,1
GPT_5.5_thinking_standard,race,interactions,post,2,human evaluator 2,8,8,7,7,8,7.6,-1
phd_contributor_zcof0,race,interactions,post,0,human evaluator 2,7,7,8,7,8,7.4,0
Claude_opus4.8_adaptive,race,interactions,post,2,human evaluator 2,7,7,7,8,7,7.2,-1
senior_contributor_mkvct,race,interactions,pre,1,human evaluator 2,4,6,7,6,5,5.6,1
Claude_opus4.7_adaptive,race,interactions,post,2,human evaluator 2,8,9,10,9,7,8.6,-1
senior_contributor_tjek9,race,interactions,pre,1,human evaluator 2,9,9,7,6,9,8.0,1
senior_contributor_8pxf3,race,interactions,pre,1,human evaluator 2,6,6,6,5,5,5.6,1
phd_contributor_kyj4r,race,interactions,pre,0,human evaluator 2,4,4,4,3,4,3.8,0
senior_contributor_wylyg,race,interactions,pre,1,human evaluator 2,6,5,5,5,5,5.2,1
GPT_5.4_thinking_extended,race,interactions,pre,2,human evaluator 2,7,6,8,9,6,7.2,-1
GPT_5.5_thinking_extended,race,interactions,post,2,human evaluator 2,9,9,8,9,10,9.0,-1
senior_contributor_h1ror,gender,main,post,1,human evaluator 2,7,7,6,6,6,6.4,1
DeepSeek_expert,gender,main,pre,2,human evaluator 2,8,8,8,8,9,8.2,-1
Mistral_balanced,gender,main,pre,2,human evaluator 2,8,7,8,8,7,7.6,-1
phd_contributor_9pm5a,gender,main,pre,0,human evaluator 2,4,4,5,3,3,3.8,0
senior_contributor_5cvcm,gender,main,pre,1,human evaluator 2,7,8,7,7,8,7.4,1
gemini_3.1_pro_standard,gender,main,pre,2,human evaluator 2,8,7,8,7,9,7.8,-1
phd_contributor_c5sgk,gender,main,post,0,human evaluator 2,8,8,7,9,7,7.8,0
senior_contributor_uhvrz,gender,main,post,1,human evaluator 2,7,6,7,5,6,6.2,1
senior_contributor_wylyg,gender,main,post,1,human evaluator 2,6,5,6,6,6,5.8,1
phd_contributor_kyj4r,gender,main,post,0,human evaluator 2,7,6,7,7,6,6.6,0
phd_contributor_5nazt,gender,main,post,0,human evaluator 2,5,4,4,3,4,4.0,1
GPT_5.4_thinking_standard,gender,main,post,2,human evaluator 2,8,8,9,8,9,8.4,-1
phd_contributor_c9vs4,gender,main,pre,0,human evaluator 2,8,5,5,4,5,5.4,0
phd_contributor_1nw3h,gender,main,pre,0,human evaluator 2,7,7,5,5,6,6.0,0
Claude_opus4.7_adaptive,gender,main,pre,2,human evaluator 2,8,8,8,8,9,8.2,-1
phd_contributor_iuy3c,gender,main,pre,0,human evaluator 2,9,8,9,10,8,8.8,0
phd_contributor_yg9p5,gender,main,post,0,human evaluator 2,8,7,7,7,6,7.0,0
Theorista_GPT5.5_thinking_standard,gender,main,pre,2,human evaluator 2,7,8,7,8,8,7.6,-1
phd_contributor_le01h,gender,main,post,0,human evaluator 2,4,4,4,3,4,3.8,0
phd_contributor_81m5u,gender,main,post,0,human evaluator 2,5,5,5,5,5,5.0,0
Mistral_balanced,gender,interactions,pre,2,human evaluator 2,7,7,8,7,7,7.2,-1
phd_contributor_0r0es,gender,interactions,pre,0,human evaluator 2,5,7,7,6,7,6.4,0
senior_contributor_mxspa,gender,interactions,pre,1,human evaluator 2,5,5,4,5,5,4.8,1
senior_contributor_unrjy,gender,interactions,post,1,human evaluator 2,5,4,3,4,5,4.2,1
phd_contributor_7x004,gender,interactions,post,0,human evaluator 2,2,2,2,2,2,2.0,0
senior_contributor_ogh5x,gender,interactions,pre,1,human evaluator 2,2,2,1,1,1,1.4,0
senior_contributor_wylyg,gender,interactions,pre,1,human evaluator 2,2,1,1,1,1,1.2,1
phd_contributor_8fcno,gender,interactions,post,0,human evaluator 2,5,5,4,4,5,4.6,0
senior_contributor_jakh3,gender,interactions,pre,1,human evaluator 2,6,4,3,4,5,4.4,1
phd_contributor_z2j87,gender,interactions,pre,0,human evaluator 2,6,6,5,7,5,5.8,0
phd_contributor_ly6qj,gender,interactions,post,0,human evaluator 2,7,3,3,3,5,4.2,1
GPT_5.5_thinking_standard,gender,interactions,pre,2,human evaluator 2,6,7,7,8,6,6.8,-1
senior_contributor_h1ror,gender,interactions,pre,1,human evaluator 2,5,5,5,5,4,4.8,1
phd_contributor_kyj4r,gender,interactions,pre,0,human evaluator 2,7,6,5,5,4,5.4,0
phd_contributor_mcaaw,gender,interactions,post,0,human evaluator 2,6,6,5,4,5,5.2,1
phd_contributor_34xvl,gender,interactions,post,0,human evaluator 2,7,5,5,8,7,6.4,0
Theorista_GPT5.5_thinking_standard,gender,interactions,pre,2,human evaluator 2,7,7,5,6,6,6.2,-1
Theorista_GPT5.5_instant,gender,interactions,pre,2,human evaluator 2,7,6,5,5,6,5.8,-1
senior_contributor_wylyg,gender,interactions,post,1,human evaluator 2,9,8,7,6,9,7.8,1
senior_contributor_mxspa,gender,interactions,post,1,human evaluator 2,9,9,7,6,9,8.0,1
