participant_ID,task,effect,phase,group,rater_identifier,clarity_coherence,causal_reasoning,theoretical_depth,creativity,persuasiveness,overall_quality,topic_expert
senior_contributor_mkvct,gender,interactions,post,1,gpt-5.5,4.0,4.0,4.0,5.0,3.0,4.0,1
senior_contributor_mxspa,gender,interactions,post,1,gpt-5.5,8.0,7.0,7.0,6.0,7.0,7.0,1
senior_contributor_ogh5x,gender,interactions,post,1,gpt-5.5,4.0,1.0,1.0,1.0,1.0,1.6,0
senior_contributor_tjek9,gender,interactions,post,1,gpt-5.5,8.0,8.0,7.0,7.0,8.0,7.6,1
senior_contributor_uhvrz,gender,interactions,post,1,gpt-5.5,7.0,5.0,4.0,3.0,5.0,4.8,1
senior_contributor_unrjy,gender,interactions,post,1,gpt-5.5,5.0,4.0,4.0,5.0,4.0,4.4,1
senior_contributor_wylyg,gender,interactions,post,1,gpt-5.5,7.0,7.0,6.0,7.0,7.0,6.8,1
senior_contributor_zi680,gender,interactions,post,1,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,0
Claude_opus4.7,gender,interactions,pre,2,gpt-5.5,9.0,9.0,8.0,8.0,9.0,8.6,-1
Claude_opus4.7_adaptive,gender,interactions,pre,2,gpt-5.5,9.0,10.0,10.0,9.0,9.0,9.4,-1
Claude_opus4.8,gender,interactions,pre,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
Claude_opus4.8_adaptive,gender,interactions,pre,2,gpt-5.5,9.0,9.0,9.0,8.0,9.0,8.8,-1
Claude_sonnet4.6,gender,interactions,pre,2,gpt-5.5,9.0,9.0,9.0,8.0,9.0,8.8,-1
DeepSeek_expert,gender,interactions,pre,2,gpt-5.5,9.0,8.0,9.0,8.0,8.0,8.4,-1
GPT_5.2_instant,gender,interactions,pre,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
GPT_5.3_instant,gender,interactions,pre,2,gpt-5.5,9.0,8.0,8.0,6.0,8.0,7.8,-1
GPT_5.4_thinking_extended,gender,interactions,pre,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
GPT_5.4_thinking_standard,gender,interactions,pre,2,gpt-5.5,9.0,9.0,9.0,8.0,9.0,8.8,-1
GPT_5.5_thinking_extended,gender,interactions,pre,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
GPT_5.5_thinking_standard,gender,interactions,pre,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
GPT_5.6Sol_high,gender,interactions,pre,2,gpt-5.5,9.0,8.0,7.0,6.0,8.0,7.6,-1
Gemini_3_fast,gender,interactions,pre,2,gpt-5.5,9.0,8.0,8.0,8.0,8.0,8.2,-1
Grok4_expert,gender,interactions,pre,2,gpt-5.5,9.0,9.0,9.0,8.0,9.0,8.8,-1
Grok4_fast,gender,interactions,pre,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
Mistral_balanced,gender,interactions,pre,2,gpt-5.5,8.0,7.0,7.0,7.0,7.0,7.2,-1
Mistral_thinking,gender,interactions,pre,2,gpt-5.5,9.0,8.0,7.0,6.0,8.0,7.6,-1
Qwen_3.6Plus_thinking,gender,interactions,pre,2,gpt-5.5,10.0,9.0,9.0,8.0,9.0,9.0,-1
Qwen_3.7Plus_thinking,gender,interactions,pre,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
Qwen_3.8Max_thinking,gender,interactions,pre,2,gpt-5.5,9.0,10.0,10.0,9.0,9.0,9.4,-1
Theorista_GPT5.5_instant,gender,interactions,pre,2,gpt-5.5,9.0,7.0,6.0,5.0,7.0,6.8,-1
Theorista_GPT5.5_thinking_standard,gender,interactions,pre,2,gpt-5.5,9.0,8.0,8.0,6.0,8.0,7.8,-1
gemini_3.1_pro_standard,gender,interactions,pre,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
gemini_3.6flash_extended,gender,interactions,pre,2,gpt-5.5,9.0,8.0,9.0,8.0,8.0,8.4,-1
phd_contributor_0k61g,gender,interactions,pre,0,gpt-5.5,5.0,4.0,3.0,3.0,4.0,3.8,0
phd_contributor_0r0es,gender,interactions,pre,0,gpt-5.5,9.0,7.0,6.0,5.0,7.0,6.8,0
phd_contributor_1gofd,gender,interactions,pre,0,gpt-5.5,2.0,1.0,1.0,1.0,1.0,1.2,1
phd_contributor_1kwwe,gender,interactions,pre,0,gpt-5.5,6.0,5.0,4.0,3.0,5.0,4.6,0
phd_contributor_1nw3h,gender,interactions,pre,0,gpt-5.5,7.0,7.0,6.0,5.0,7.0,6.4,0
phd_contributor_2rhpt,gender,interactions,pre,0,gpt-5.5,8.0,8.0,7.0,6.0,8.0,7.4,0
phd_contributor_2xy9o,gender,interactions,pre,0,gpt-5.5,4.0,4.0,4.0,5.0,3.0,4.0,0
phd_contributor_34xvl,gender,interactions,pre,0,gpt-5.5,7.0,6.0,5.0,6.0,6.0,6.0,0
phd_contributor_41mim,gender,interactions,pre,0,gpt-5.5,4.0,4.0,3.0,5.0,3.0,3.8,0
phd_contributor_45ypj,gender,interactions,pre,0,gpt-5.5,6.0,5.0,4.0,5.0,4.0,4.8,0
phd_contributor_4luvh,gender,interactions,pre,0,gpt-5.5,7.0,6.0,5.0,5.0,6.0,5.8,0
phd_contributor_558ea,gender,interactions,pre,0,gpt-5.5,5.0,1.0,1.0,1.0,2.0,2.0,0
phd_contributor_559wp,gender,interactions,pre,0,gpt-5.5,6.0,5.0,4.0,3.0,5.0,4.6,0
phd_contributor_5cv1y,gender,interactions,pre,0,gpt-5.5,7.0,6.0,5.0,4.0,5.0,5.4,0
phd_contributor_5nazt,gender,interactions,pre,0,gpt-5.5,5.0,4.0,3.0,2.0,4.0,3.6,1
phd_contributor_5wz57,gender,interactions,pre,0,gpt-5.5,4.0,3.0,2.0,3.0,3.0,3.0,0
phd_contributor_7nisc,gender,interactions,pre,0,gpt-5.5,5.0,3.0,3.0,3.0,3.0,3.4,0
phd_contributor_7trlj,gender,interactions,pre,0,gpt-5.5,7.0,5.0,3.0,3.0,5.0,4.6,1
phd_contributor_7x004,gender,interactions,pre,0,gpt-5.5,3.0,1.0,1.0,1.0,1.0,1.4,0
phd_contributor_81m5u,gender,interactions,pre,0,gpt-5.5,6.0,4.0,3.0,3.0,4.0,4.0,0
phd_contributor_872ey,gender,interactions,pre,0,gpt-5.5,5.0,4.0,4.0,3.0,4.0,4.0,0
phd_contributor_8fcno,gender,interactions,pre,0,gpt-5.5,6.0,5.0,4.0,3.0,5.0,4.6,0
phd_contributor_9b8k7,gender,interactions,pre,0,gpt-5.5,4.0,3.0,3.0,4.0,3.0,3.4,0
phd_contributor_9pm5a,gender,interactions,pre,0,gpt-5.5,6.0,5.0,4.0,4.0,5.0,4.8,0
phd_contributor_ama1n,gender,interactions,pre,0,gpt-5.5,6.0,5.0,5.0,6.0,4.0,5.2,0
phd_contributor_ayd29,gender,interactions,pre,0,gpt-5.5,8.0,7.0,6.0,6.0,6.0,6.6,0
phd_contributor_blzc1,gender,interactions,pre,0,gpt-5.5,7.0,4.0,3.0,3.0,4.0,4.2,0
phd_contributor_c5rzh,gender,interactions,pre,0,gpt-5.5,8.0,5.0,4.0,3.0,5.0,5.0,0
phd_contributor_c5sgk,gender,interactions,pre,0,gpt-5.5,7.0,5.0,4.0,3.0,5.0,4.8,0
phd_contributor_c9vs4,gender,interactions,pre,0,gpt-5.5,6.0,1.0,1.0,1.0,1.0,2.0,0
phd_contributor_dpw1t,gender,interactions,pre,0,gpt-5.5,9.0,7.0,7.0,5.0,8.0,7.2,0
phd_contributor_drr4r,gender,interactions,pre,0,gpt-5.5,6.0,3.0,3.0,3.0,3.0,3.6,0
phd_contributor_dwdg8,gender,interactions,pre,0,gpt-5.5,5.0,2.0,1.0,2.0,2.0,2.4,0
phd_contributor_fojz7,gender,interactions,pre,0,gpt-5.5,7.0,5.0,5.0,5.0,5.0,5.4,0
phd_contributor_giyw7,gender,interactions,pre,0,gpt-5.5,8.0,7.0,7.0,6.0,7.0,7.0,1
phd_contributor_iuy3c,gender,interactions,pre,0,gpt-5.5,7.0,6.0,5.0,5.0,5.0,5.6,0
phd_contributor_iv4qg,gender,interactions,pre,0,gpt-5.5,7.0,6.0,6.0,5.0,6.0,6.0,0
phd_contributor_kmwj4,gender,interactions,pre,0,gpt-5.5,5.0,5.0,4.0,4.0,4.0,4.4,0
phd_contributor_kyj4r,gender,interactions,pre,0,gpt-5.5,4.0,5.0,4.0,5.0,4.0,4.4,0
phd_contributor_le01h,gender,interactions,pre,0,gpt-5.5,4.0,3.0,2.0,2.0,3.0,2.8,0
phd_contributor_ly6qj,gender,interactions,pre,0,gpt-5.5,6.0,5.0,4.0,3.0,5.0,4.6,1
phd_contributor_mcaaw,gender,interactions,pre,0,gpt-5.5,6.0,5.0,4.0,4.0,5.0,4.8,1
phd_contributor_mdmrd,gender,interactions,pre,0,gpt-5.5,6.0,5.0,4.0,4.0,5.0,4.8,0
phd_contributor_mfkek,gender,interactions,pre,0,gpt-5.5,8.0,7.0,6.0,5.0,7.0,6.6,0
phd_contributor_mrqrj,gender,interactions,pre,0,gpt-5.5,6.0,4.0,4.0,4.0,4.0,4.4,0
phd_contributor_ogfiu,gender,interactions,pre,0,gpt-5.5,6.0,6.0,5.0,5.0,5.0,5.4,0
phd_contributor_rvget,gender,interactions,pre,0,gpt-5.5,5.0,2.0,2.0,3.0,2.0,2.8,0
phd_contributor_u3rga,gender,interactions,pre,0,gpt-5.5,5.0,4.0,4.0,4.0,4.0,4.2,0
phd_contributor_ul2n5,gender,interactions,pre,0,gpt-5.5,7.0,7.0,6.0,6.0,6.0,6.4,0
phd_contributor_upzfq,gender,interactions,pre,0,gpt-5.5,5.0,4.0,3.0,3.0,4.0,3.8,0
phd_contributor_wbgok,gender,interactions,pre,0,gpt-5.5,6.0,5.0,4.0,5.0,5.0,5.0,0
phd_contributor_wqux6,gender,interactions,pre,0,gpt-5.5,6.0,4.0,3.0,3.0,4.0,4.0,0
phd_contributor_yedjp,gender,interactions,pre,0,gpt-5.5,6.0,6.0,5.0,4.0,5.0,5.2,0
phd_contributor_yg9p5,gender,interactions,pre,0,gpt-5.5,7.0,5.0,4.0,3.0,5.0,4.8,0
phd_contributor_z2j87,gender,interactions,pre,0,gpt-5.5,8.0,6.0,5.0,4.0,6.0,5.8,0
phd_contributor_z7ttj,gender,interactions,pre,0,gpt-5.5,3.0,2.0,2.0,2.0,2.0,2.2,0
phd_contributor_z9ezk,gender,interactions,pre,0,gpt-5.5,4.0,4.0,3.0,3.0,3.0,3.4,0
phd_contributor_zbjey,gender,interactions,pre,0,gpt-5.5,4.0,3.0,3.0,3.0,2.0,3.0,0
phd_contributor_zcof0,gender,interactions,pre,0,gpt-5.5,8.0,6.0,5.0,4.0,6.0,5.8,0
phd_contributor_zi2lh,gender,interactions,pre,0,gpt-5.5,4.0,3.0,3.0,4.0,3.0,3.4,0
senior_contributor_5cvcm,gender,interactions,pre,1,gpt-5.5,6.0,5.0,5.0,4.0,5.0,5.0,1
senior_contributor_8pxf3,gender,interactions,pre,1,gpt-5.5,8.0,7.0,6.0,5.0,7.0,6.6,1
senior_contributor_ecdev,gender,interactions,pre,1,gpt-5.5,6.0,4.0,3.0,3.0,4.0,4.0,1
senior_contributor_h1ror,gender,interactions,pre,1,gpt-5.5,7.0,5.0,4.0,3.0,5.0,4.8,1
senior_contributor_jakh3,gender,interactions,pre,1,gpt-5.5,6.0,4.0,4.0,4.0,4.0,4.4,1
senior_contributor_mkvct,gender,interactions,pre,1,gpt-5.5,4.0,4.0,4.0,5.0,3.0,4.0,1
senior_contributor_mxspa,gender,interactions,pre,1,gpt-5.5,8.0,7.0,6.0,5.0,7.0,6.6,1
senior_contributor_ogh5x,gender,interactions,pre,1,gpt-5.5,2.0,1.0,1.0,1.0,1.0,1.2,0
senior_contributor_tjek9,gender,interactions,pre,1,gpt-5.5,8.0,7.0,6.0,6.0,7.0,6.8,1
senior_contributor_uhvrz,gender,interactions,pre,1,gpt-5.5,6.0,6.0,5.0,6.0,5.0,5.6,1
senior_contributor_unrjy,gender,interactions,pre,1,gpt-5.5,5.0,3.0,3.0,2.0,3.0,3.2,1
senior_contributor_wylyg,gender,interactions,pre,1,gpt-5.5,5.0,4.0,3.0,2.0,3.0,3.4,1
senior_contributor_zi680,gender,interactions,pre,1,gpt-5.5,7.0,6.0,5.0,5.0,6.0,5.8,0
Claude_opus4.7,gender,main,post,2,gpt-5.5,8.0,8.0,9.0,8.0,8.0,8.2,-1
Claude_opus4.7_adaptive,gender,main,post,2,gpt-5.5,9.0,9.0,9.0,8.0,9.0,8.8,-1
Claude_opus4.8,gender,main,post,2,gpt-5.5,9.0,9.0,9.0,8.0,9.0,8.8,-1
Claude_opus4.8_adaptive,gender,main,post,2,gpt-5.5,9.0,9.0,9.0,8.0,9.0,8.8,-1
Claude_sonnet4.6,gender,main,post,2,gpt-5.5,8.0,9.0,10.0,9.0,8.0,8.8,-1
DeepSeek_expert,gender,main,post,2,gpt-5.5,10.0,9.0,10.0,9.0,9.0,9.4,-1
GPT_5.2_instant,gender,main,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
GPT_5.3_instant,gender,main,post,2,gpt-5.5,9.0,8.0,7.0,6.0,8.0,7.6,-1
GPT_5.4_thinking_extended,gender,main,post,2,gpt-5.5,8.0,7.0,7.0,5.0,7.0,6.8,-1
GPT_5.4_thinking_standard,gender,main,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
GPT_5.5_thinking_extended,gender,main,post,2,gpt-5.5,9.0,8.0,8.0,6.0,8.0,7.8,-1
GPT_5.5_thinking_standard,gender,main,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
GPT_5.6Sol_high,gender,main,post,2,gpt-5.5,9.0,9.0,9.0,7.0,9.0,8.6,-1
Gemini_3_fast,gender,main,post,2,gpt-5.5,8.0,8.0,8.0,7.0,8.0,7.8,-1
Grok4_expert,gender,main,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
Grok4_fast,gender,main,post,2,gpt-5.5,9.0,9.0,9.0,7.0,8.0,8.4,-1
Mistral_balanced,gender,main,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
Mistral_thinking,gender,main,post,2,gpt-5.5,9.0,8.0,7.0,6.0,8.0,7.6,-1
Qwen_3.6Plus_thinking,gender,main,post,2,gpt-5.5,9.0,9.0,9.0,8.0,8.0,8.6,-1
Qwen_3.7Plus_thinking,gender,main,post,2,gpt-5.5,9.0,8.0,9.0,8.0,8.0,8.4,-1
Qwen_3.8Max_thinking,gender,main,post,2,gpt-5.5,10.0,9.0,10.0,9.0,9.0,9.4,-1
Theorista_GPT5.5_instant,gender,main,post,2,gpt-5.5,9.0,8.0,7.0,5.0,8.0,7.4,-1
Theorista_GPT5.5_thinking_standard,gender,main,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
gemini_3.1_pro_standard,gender,main,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
gemini_3.6flash_extended,gender,main,post,2,gpt-5.5,9.0,9.0,9.0,8.0,8.0,8.6,-1
phd_contributor_0k61g,gender,main,post,0,gpt-5.5,5.0,4.0,3.0,3.0,4.0,3.8,0
phd_contributor_0r0es,gender,main,post,0,gpt-5.5,8.0,8.0,7.0,6.0,8.0,7.4,0
phd_contributor_1gofd,gender,main,post,0,gpt-5.5,5.0,4.0,3.0,3.0,4.0,3.8,1
phd_contributor_1kwwe,gender,main,post,0,gpt-5.5,5.0,3.0,2.0,2.0,3.0,3.0,0
phd_contributor_1nw3h,gender,main,post,0,gpt-5.5,7.0,6.0,5.0,3.0,6.0,5.4,0
phd_contributor_2rhpt,gender,main,post,0,gpt-5.5,9.0,8.0,8.0,6.0,8.0,7.8,0
phd_contributor_2xy9o,gender,main,post,0,gpt-5.5,6.0,5.0,5.0,4.0,5.0,5.0,0
phd_contributor_34xvl,gender,main,post,0,gpt-5.5,7.0,8.0,7.0,6.0,7.0,7.0,0
phd_contributor_41mim,gender,main,post,0,gpt-5.5,7.0,5.0,4.0,3.0,5.0,4.8,0
phd_contributor_45ypj,gender,main,post,0,gpt-5.5,7.0,6.0,5.0,4.0,6.0,5.6,0
phd_contributor_4luvh,gender,main,post,0,gpt-5.5,7.0,7.0,7.0,7.0,6.0,6.8,0
phd_contributor_558ea,gender,main,post,0,gpt-5.5,5.0,3.0,2.0,2.0,2.0,2.8,0
phd_contributor_559wp,gender,main,post,0,gpt-5.5,6.0,6.0,5.0,3.0,6.0,5.2,0
phd_contributor_5cv1y,gender,main,post,0,gpt-5.5,7.0,6.0,5.0,4.0,6.0,5.6,0
phd_contributor_5nazt,gender,main,post,0,gpt-5.5,7.0,6.0,3.0,3.0,6.0,5.0,1
phd_contributor_5wz57,gender,main,post,0,gpt-5.5,6.0,5.0,5.0,5.0,5.0,5.2,0
phd_contributor_7nisc,gender,main,post,0,gpt-5.5,7.0,6.0,5.0,3.0,6.0,5.4,0
phd_contributor_7trlj,gender,main,post,0,gpt-5.5,7.0,5.0,4.0,2.0,5.0,4.6,1
